Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Sistema de Informação para a Atenção Primária à Saúde – SIAPS
Dado gerado em: 28 de março de 2026 - 19:01h
Módulo Transferencia de arquivo - Componente Qualidade | Visão Geral - Componente Qualidade
Dado Preliminar

Dados Sócio Demográficos:
UF: BA
Município: 291210 / IBICARAÍ

Filtro:
Competência selecionada: JAN/26
Indicador selecionado: Visão Geral - Componente Qualidade
Visualizacao: Monitoramento

Competência/Ano;UF;IBGE Município;Nome Município;Condição de Equipe;CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;C1 - Mais acesso à APS;Classificação;C2 - Cuidado no desenvolvimento infantil;Classificação;C3 - Cuidado na gestação e puerpério;Classificação;C4 - Cuidado da pessoa com diabetes;Classificação;C5 - Cuidado da pessoa com hipertensão;Classificação;C6 - Cuidado da pessoa idosa;Classificação;C7 - Cuidado da mulher na prevenção do câncer;Classificação;B1 - Primeira consulta programada;Classificação;B2 - Tratamento concluído;Classificação;B3 - Taxa de exodontia;Classificação;B4 - Escovação supervisionada em faixa etária escolar;Classificação;B5 - Procedimentos odontológicos preventivos;Classificação;B6 - Tratamento restaurador atraumático;Classificação;M1 - Média de atendimentos por pessoa pela eMulti na APS;Classificação;M2 - Ações interprofissionais realizadas pela eMulti na APS;Classificação;CR1 - Mais acesso à eCR;Classificação;CR2 - Cuidado na gestação;Classificação;CR3 - Rastreio de infecções sexualmente transmissíveis;Classificação;CR4 - Cuidado da pessoa com tuberculose;Classificação;P1 - Mais acesso à Atenção Primária Prisional;Classificação;P2 - Cuidado na Gestação;Classificação;P3 - Cuidado da pessoa com diabetes e ou hipertensão;Classificação;P4 - Rastreio de infecções sexualmente transmissíveis;Classificação;P6 - Cuidado da mulher na prevenção do câncer;Classificação
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"4025938	";"UNIDADE SAUDE DA FAMILIA SILVINO PIRES	";"02	";"0000193178	";"SILVINO PIRES	";"eSF	";"11.9	";"SUFICIENTE	";"26.34	";"SUFICIENTE	";"36.44	";"SUFICIENTE	";"60.32	";"BOM	";"62.28	";"BOM	";"54.5	";"BOM	";"44.78	";"SUFICIENTE	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412756	";"UNIDADE SAUDE DA FAMILIA DR HENRIQUE PIMENTEL SAMPAIO	";"02	";"0002335409	";"EMULTI HENRIQUE PIMEN. SAMPAIO	";"eMulti	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"2.04	";"BOM	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412780	";"UNIDADE SAUDE DA FAMILIA OLYNTHO MATOS	";"02	";"0002194384	";"ESB OLYNTHO MATOS	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412748	";"UNIDADE SAUDE DA FAMILIA ISRAEL MENDONCA	";"02	";"0001839063	";"ESB ISRAEL MENDONCA	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"85.71	";"REGULAR	";"0	";"REGULAR	";"91.67	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"3128342	";"UNIDADE SAUDE DA FAMILIA OSEAS PEIXOTO	";"02	";"0001840215	";"ESB OSEAS PEIXOTO	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412721	";"UNIDADE SAUDE DA FAMILIA NERICIA SALES SOUZA MENEZES	";"02	";"0001840967	";"ESB NERICIA SALES	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412764	";"UNIDADE SAUDE DA FAMILIA LAURO FIGUEIREDO PIRES	";"02	";"0001839799	";"ESB LAURO FIGUEIREDO PIRES	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"3917746	";"UNIDADE SAUDE DA FAMILIA CLEIDSON DIAS CARDOSO	";"02	";"0001837206	";"ESB CLEIDSON DIAS CARDOSO	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"3128342	";"UNIDADE SAUDE DA FAMILIA OSEAS PEIXOTO	";"02	";"0002335417	";"EMULTI OSEAS PEIXOTO	";"eMulti	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"2.48	";"BOM	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412624	";"UNIDADE SAUDE DA FAMILIA JOSE VIEIRA DE MENEZES	";"02	";"0002194368	";"ESB JOSE VIEIRA DE MENEZES	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412799	";"UNIDADE SAUDE DA FAMILIA DR ANTONIO VIEIRA DE BRITO	";"02	";"0002179709	";"ESB DR. FERREIRINHA	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"5889995	";"UNIDADE SAUDE DA FAMILIA CORINA BATISTA	";"02	";"0001836021	";"ESB CORINA BATISTA	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"4025938	";"UNIDADE SAUDE DA FAMILIA SILVINO PIRES	";"02	";"0001841351	";"ESB SILVINO PIRES	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"
"JAN/26	";"BA	";"291210	";"IBICARAÍ	";"	";"2412756	";"UNIDADE SAUDE DA FAMILIA DR HENRIQUE PIMENTEL SAMPAIO	";"02	";"0001838288	";"ESB HENRIQUE PIMENTEL SAMPAIO	";"eSB	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"0	";"REGULAR	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	";"N/A	"

Fonte: Sistema de Informação para a Atenção Primária à Saúde - SIAPS
""
"Legenda"
"N/A";"Não se aplica"
